constant, lambda, clicks, CTR, spend, CPM, CPC
55,1e-07,51,0.064%,6250,78.41808760241402,122.54901960784314
55,2e-07,51,0.064%,6250,78.01480408922397,122.54901960784314
55,3e-07,54,0.064%,6250,73.72021703231894,115.74074074074075
55,4e-07,59,0.064%,6250,68.00870511425462,105.9322033898305
55,5e-07,58,0.060%,6250,64.95396063270353,107.75862068965517
55,6e-07,55,0.055%,6250,61.949270980979094,113.63636363636364
55,7e-07,59,0.056%,6250,59.036895698335634,105.9322033898305
55,8e-07,63,0.057%,6250,56.33574300084729,99.2063492063492
55,9e-07,62,0.054%,6250,54.192317697043265,100.80645161290323
55,1e-06,65,0.055%,6250,52.74662210632032,96.15384615384616
55,1.1e-06,68,0.056%,6250,51.50264105543332,91.91176470588235
55,1.2e-06,70,0.056%,6250,50.25206435480369,89.28571428571429
55,1.2999999999999998e-06,74,0.058%,6250,49.28283616808207,84.45945945945945
55,1.4e-06,75,0.058%,6250,48.50149772624979,83.33333333333333
55,1.5e-06,76,0.058%,6250,47.75841121138255,82.23684210526316
55,1.6e-06,77,0.058%,6250,47.08026997710016,81.16883116883118
55,1.6999999999999998e-06,77,0.057%,6250,46.66825960992802,81.16883116883118
55,1.8e-06,80,0.059%,6250,46.151687674914896,78.125
55,1.9e-06,82,0.059%,6250,44.94527463360612,76.21951219512195
55,2e-06,84,0.059%,6250,44.26627759559745,74.4047619047619
55,2.1e-06,84,0.059%,6250,43.57587082020247,74.4047619047619
55,2.2e-06,86,0.058%,6250,41.811893309428086,72.67441860465117
55,2.3e-06,81,0.052%,6250,39.91595296942757,77.1604938271605
55,2.4e-06,81,0.051%,6250,39.533942261468006,77.1604938271605
55,2.4999999999999998e-06,85,0.055%,5908453,37970.110791218955,69511.21176470588
55,2.5999999999999997e-06,70,0.051%,4610785,33866.47422619835,65868.35714285714
55,2.7e-06,68,0.051%,4380115,33071.69876852684,64413.455882352944
55,2.8e-06,67,0.055%,3862205,31482.45814245423,57644.850746268654
55,2.8999999999999998e-06,64,0.053%,3694331,30862.99195495443,57723.921875
60,1e-07,51,0.064%,6250,78.41808760241402,122.54901960784314
60,2e-07,51,0.064%,6250,78.26293842898107,122.54901960784314
60,3e-07,54,0.065%,6250,74.85298873013402,115.74074074074075
60,4e-07,58,0.064%,6250,69.40896874930591,107.75862068965517
60,5e-07,58,0.061%,6250,65.69335393476914,107.75862068965517
60,6e-07,54,0.054%,6250,62.66418015199823,115.74074074074075
60,7e-07,59,0.057%,6250,60.029774768285066,105.9322033898305
60,8e-07,62,0.057%,6250,57.03855806525211,100.80645161290323
60,9e-07,63,0.055%,6250,54.700764935496856,99.2063492063492
60,1e-06,65,0.055%,6250,53.25721102637297,96.15384615384616
60,1.1e-06,68,0.056%,6250,51.924962198627526,91.91176470588235
60,1.2e-06,70,0.057%,6250,50.924794263831174,89.28571428571429
60,1.2999999999999998e-06,72,0.057%,6250,49.75876948553413,86.80555555555556
60,1.4e-06,75,0.059%,6250,48.89879904549544,83.33333333333333
60,1.5e-06,76,0.059%,6250,48.14543773831992,82.23684210526316
60,1.6e-06,76,0.058%,6250,47.536831537074924,82.23684210526316
60,1.6999999999999998e-06,76,0.057%,6250,46.84946704046295,82.23684210526316
60,1.8e-06,79,0.059%,6250,46.323404066083114,79.11392405063292
60,1.9e-06,81,0.060%,6250,46.00493172868131,77.1604938271605
60,2e-06,84,0.060%,6250,44.797087114207486,74.4047619047619
60,2.1e-06,83,0.058%,6250,43.81967328051602,75.3012048192771
60,2.2e-06,85,0.059%,6250,43.50277373685346,73.52941176470588
60,2.3e-06,88,0.059%,6250,41.71422087846812,71.02272727272727
60,2.4e-06,81,0.052%,6250,39.81196014982037,77.1604938271605
60,2.4999999999999998e-06,87,0.054%,6250,39.015437628360786,71.83908045977012
60,2.5999999999999997e-06,85,0.055%,5880576,37910.094830420516,69183.24705882353
60,2.7e-06,70,0.051%,4607838,33863.73190269714,65826.25714285714
60,2.8e-06,68,0.052%,4268089,32737.271235062202,62766.01470588235
60,2.8999999999999998e-06,65,0.053%,3822496,31379.26052406909,58807.63076923077
65,1e-07,51,0.064%,6250,78.41808760241402,122.54901960784314
65,2e-07,51,0.064%,6250,78.41808760241402,122.54901960784314
65,3e-07,54,0.065%,6250,75.38840104216926,115.74074074074075
