constant, lambda, clicks, CTR, spend, CPM, CPC
38,4.6e-06,42,0.044%,2249.888,23696.251592993984,53568.76190476191
38,4.7e-06,41,0.044%,2182.214,23357.173438369653,53224.73170731707
38,4.8e-06,40,0.043%,2175.495,23309.457736443408,54387.375
38,4.9e-06,39,0.043%,2101.44,22947.747747747748,53883.07692307692
39,2e-06,79,0.055%,6250.0,43612.359393753315,79113.92405063291
39,2.1e-06,81,0.055%,6250.0,42063.74845205406,77160.49382716049
39,2.2e-06,79,0.053%,6250.0,41692.23790591562,79113.92405063291
39,2.3e-06,74,0.047%,6250.0,39903.97507438101,84459.45945945945
39,2.4e-06,74,0.047%,6250.0,39445.6155409414,84459.45945945945
39,2.4999999999999998e-06,78,0.048%,6250.0,38599.78507639669,80128.20512820513
39,2.5999999999999997e-06,77,0.047%,6180.662,37953.09794289224,80268.33766233767
39,2.7e-06,76,0.047%,6023.282,37539.69747773463,79253.71052631579
39,2.8e-06,62,0.043%,4894.353,33952.95904988519,78941.17741935483
39,2.8999999999999998e-06,61,0.043%,4797.441,33634.62428313025,78646.5737704918
39,3e-06,60,0.044%,4459.497,32631.580102735214,74324.95
39,3.1e-06,60,0.045%,4331.005,32181.878301963905,72183.41666666667
39,3.2e-06,59,0.045%,4174.628,31568.811016417243,70756.40677966102
39,3.2999999999999997e-06,58,0.046%,3899.778,30656.703980881706,67237.55172413793
39,3.3999999999999996e-06,58,0.046%,3779.143,30222.505678001344,65157.637931034486
39,3.5e-06,58,0.049%,3422.968,28997.882109757546,59016.68965517241
39,3.6e-06,56,0.049%,3214.539,28177.44254132992,57402.482142857145
39,3.6999999999999997e-06,55,0.048%,3179.907,28026.679005817026,57816.490909090906
39,3.8e-06,49,0.044%,3033.664,27387.796004225085,61911.510204081635
39,3.9e-06,46,0.044%,2684.534,25845.879827086563,58359.434782608696
39,4e-06,44,0.043%,2592.48,25412.235215699344,58920.0
39,4.1e-06,44,0.044%,2547.964,25199.42242266002,57908.27272727273
39,4.2e-06,44,0.044%,2516.063,25035.45273631841,57183.25
39,4.2999999999999995e-06,44,0.045%,2388.58,24407.385835300367,54285.90909090909
